Linker,Z spread,Maturity
0t23,-115.9572,0.712328767
2q23,-106.803,0.84109589
0e24,-123.5464,1.24109589
124,-132.246,1.465753425
2t24,-123.4919,1.843835616
0q25,-107.8115,2.243835616
525,-115.1677,2.339726027
0q25,-120.6306,2.591780822
225,-124.1414,2.843835616
0e26,-105.4003,3.24109589
124,-94.63746,3.715068493
0t26,-81.63583,3.967123288
4e27,-63.11856,4.238356164
1q27,-72.35735,4.715068493
4q27,-59.8841,5.093150685
0e28,-62.25404,5.243835616
1q28,-58.97998,5.969863014
628,-48.44944,6.095890411
0h29,-42.45967,6.246575342
0s29,-45.52575,6.969863014
0t30,-38.029,7.969863014
4t30,-42.57271,8.095890411
0q31,-24.30857,8.742465753
132,-20.23976,9.246575342
4q32,-26.6538,9.597260274
0s33,-8.084592,10.74520548
4h34,-3.898542,11.84931507
0f35,13.63576,12.74520548
4q36,13.32906,13.34794521
1t37,25.47318,14.85205479
4t38,25.94034,16.10136986
1e39,30.88717,16.25205479
4q39,30.12122,16.85205479
4q40,33.8467,18.10410959
1q41,35.17456,18.97808219
4h42,32.60213,20.10410959
3q44,36.29356,21.23013699
3h45,37.47215,22.23287671
0s46,38.78727,23.25753425
4q46,38.26337,24.10684932
1h47,38.48385,24.72876712
1t49,35.33412,26.23561644
4q49,36.82445,27.10958904
0f50,33.82996,27.98356164
1q51,37.82368,28.75616438
3t52,32.90777,29.73424658
1h53,37.827,30.75890411
1f54,31.67877,31.98630137
4q55,29.76505,33.11232877
1t57,26.91519,34.7369863
460,24.42366,37.24109589
0h61,27.15527,38.99178082
2h65,30.48803,42.74246575
3h68,29.59153,45.74520548
1f71,29.92227,48.99726027
1e73,31.67017,51
